진료년도,시도,시군구,연령군,분만건수
2023,서울,강남구,19세 이하,0
2023,서울,강남구,20~29세,566
2023,서울,강남구,30~39세,6894
2023,서울,강남구,40~49세,802
2023,서울,강남구,50세 이상,0
2023,서울,강동구,19세 이하,0
2023,서울,강동구,20~29세,455
2023,서울,강동구,30~39세,3015
2023,서울,강동구,40~49세,271
2023,서울,강동구,50세 이상,0
2023,서울,강서구,19세 이하,0
2023,서울,강서구,20~29세,408
2023,서울,강서구,30~39세,3345
2023,서울,강서구,40~49세,303
2023,서울,강서구,50세 이상,0
2023,서울,관악구,19세 이하,0
2023,서울,관악구,20~29세,84
2023,서울,관악구,30~39세,494
2023,서울,관악구,40~49세,45
2023,서울,관악구,50세 이상,0
2023,서울,구로구,19세 이하,0
2023,서울,구로구,20~29세,309
2023,서울,구로구,30~39세,2212
2023,서울,구로구,40~49세,200
2023,서울,구로구,50세 이상,0
2023,서울,도봉구,19세 이하,0
2023,서울,도봉구,20~29세,201
2023,서울,도봉구,30~39세,891
2023,서울,도봉구,40~49세,62
2023,서울,도봉구,50세 이상,0
2023,서울,동대문구,19세 이하,0
2023,서울,동대문구,20~29세,195
2023,서울,동대문구,30~39세,1143
2023,서울,동대문구,40~49세,122
2023,서울,동대문구,50세 이상,0
2023,서울,동작구,19세 이하,0
2023,서울,동작구,20~29세,201
2023,서울,동작구,30~39세,1468
2023,서울,동작구,40~49세,158
2023,서울,동작구,50세 이상,0
2023,서울,마포구,19세 이하,0
2023,서울,마포구,20~29세,56
2023,서울,마포구,30~39세,308
2023,서울,마포구,40~49세,18
2023,서울,마포구,50세 이상,0
2023,서울,서대문구,19세 이하,0
2023,서울,서대문구,20~29세,189
2023,서울,서대문구,30~39세,2047
2023,서울,서대문구,40~49세,280
2023,서울,서대문구,50세 이상,0
2023,서울,성동구,19세 이하,0
2023,서울,성동구,20~29세,21
2023,서울,성동구,30~39세,99
2023,서울,성동구,40~49세,18
2023,서울,성동구,50세 이상,0
2023,서울,성북구,19세 이하,0
2023,서울,성북구,20~29세,191
2023,서울,성북구,30~39세,917
2023,서울,성북구,40~49세,97
2023,서울,성북구,50세 이상,0
2023,서울,영등포구,19세 이하,0
2023,서울,영등포구,20~29세,97
2023,서울,영등포구,30~39세,836
2023,서울,영등포구,40~49세,83
2023,서울,영등포구,50세 이상,0
2023,서울,용산구,19세 이하,0
2023,서울,용산구,20~29세,48
2023,서울,용산구,30~39세,281
2023,서울,용산구,40~49세,38
2023,서울,용산구,50세 이상,0
2023,서울,은평구,19세 이하,0
2023,서울,은평구,20~29세,310
2023,서울,은평구,30~39세,1915
2023,서울,은평구,40~49세,196
2023,서울,은평구,50세 이상,0
2023,서울,종로구,19세 이하,0
2023,서울,종로구,20~29세,154
2023,서울,종로구,30~39세,1632
2023,서울,종로구,40~49세,244
2023,서울,종로구,50세 이상,0
2023,서울,중구,19세 이하,0
2023,서울,중구,20~29세,36
2023,서울,중구,30~39세,105
2023,서울,중구,40~49세,10
2023,서울,중구,50세 이상,0
2023,서울,송파구,19세 이하,0
2023,서울,송파구,20~29세,478
2023,서울,송파구,30~39세,3715
2023,서울,송파구,40~49세,464
2023,서울,송파구,50세 이상,0
2023,서울,중랑구,19세 이하,0
2023,서울,중랑구,20~29세,228
2023,서울,중랑구,30~39세,749
2023,서울,중랑구,40~49세,73
2023,서울,중랑구,50세 이상,0
2023,서울,양천구,19세 이하,0
2023,서울,양천구,20~29세,204
2023,서울,양천구,30~39세,1043
2023,서울,양천구,40~49세,80
2023,서울,양천구,50세 이상,0
2023,서울,서초구,19세 이하,0
2023,서울,서초구,20~29세,118
2023,서울,서초구,30~39세,1372
2023,서울,서초구,40~49세,163
2023,서울,서초구,50세 이상,0
2023,서울,노원구,19세 이하,0
2023,서울,노원구,20~29세,248
2023,서울,노원구,30~39세,1472
2023,서울,노원구,40~49세,158
2023,서울,노원구,50세 이상,0
2023,서울,광진구,19세 이하,0
2023,서울,광진구,20~29세,155
2023,서울,광진구,30~39세,932
2023,서울,광진구,40~49세,82
2023,서울,광진구,50세 이상,0
2023,서울,강북구,19세 이하,0
2023,서울,강북구,20~29세,274
2023,서울,강북구,30~39세,1484
2023,서울,강북구,40~49세,110
2023,서울,강북구,50세 이상,0
2023,서울,금천구,19세 이하,0
2023,서울,금천구,20~29세,116
2023,서울,금천구,30~39세,432
2023,서울,금천구,40~49세,30
2023,서울,금천구,50세 이상,0
2023,부산,부산남구,19세 이하,0
2023,부산,부산남구,20~29세,0
2023,부산,부산남구,30~39세,0
2023,부산,부산남구,40~49세,0
2023,부산,부산남구,50세 이상,0
2023,부산,부산동구,19세 이하,0
2023,부산,부산동구,20~29세,246
2023,부산,부산동구,30~39세,1254
2023,부산,부산동구,40~49세,161
2023,부산,부산동구,50세 이상,0
2023,부산,부산동래구,19세 이하,0
2023,부산,부산동래구,20~29세,195
2023,부산,부산동래구,30~39세,884
2023,부산,부산동래구,40~49세,62
2023,부산,부산동래구,50세 이상,0
2023,부산,부산진구,19세 이하,0
2023,부산,부산진구,20~29세,292
2023,부산,부산진구,30~39세,1307
2023,부산,부산진구,40~49세,154
2023,부산,부산진구,50세 이상,0
2023,부산,부산북구,19세 이하,0
2023,부산,부산북구,20~29세,343
2023,부산,부산북구,30~39세,1543
2023,부산,부산북구,40~49세,112
2023,부산,부산북구,50세 이상,0
2023,부산,부산서구,19세 이하,0
2023,부산,부산서구,20~29세,148
2023,부산,부산서구,30~39세,578
2023,부산,부산서구,40~49세,83
2023,부산,부산서구,50세 이상,0
2023,부산,부산영도구,19세 이하,0
2023,부산,부산영도구,20~29세,0
2023,부산,부산영도구,30~39세,0
2023,부산,부산영도구,40~49세,0
2023,부산,부산영도구,50세 이상,0
2023,부산,부산중구,19세 이하,0
2023,부산,부산중구,20~29세,0
2023,부산,부산중구,30~39세,0
2023,부산,부산중구,40~49세,0
2023,부산,부산중구,50세 이상,0
2023,부산,부산해운대구,19세 이하,0
2023,부산,부산해운대구,20~29세,171
2023,부산,부산해운대구,30~39세,1157
2023,부산,부산해운대구,40~49세,118
2023,부산,부산해운대구,50세 이상,0
2023,부산,부산사하구,19세 이하,0
2023,부산,부산사하구,20~29세,229
2023,부산,부산사하구,30~39세,880
2023,부산,부산사하구,40~49세,66
2023,부산,부산사하구,50세 이상,0
2023,부산,부산금정구,19세 이하,0
2023,부산,부산금정구,20~29세,157
2023,부산,부산금정구,30~39세,888
2023,부산,부산금정구,40~49세,80
2023,부산,부산금정구,50세 이상,0
2023,부산,부산강서구,19세 이하,0
2023,부산,부산강서구,20~29세,88
2023,부산,부산강서구,30~39세,297
2023,부산,부산강서구,40~49세,28
2023,부산,부산강서구,50세 이상,0
2023,부산,부산연제구,19세 이하,0
2023,부산,부산연제구,20~29세,201
2023,부산,부산연제구,30~39세,1060
2023,부산,부산연제구,40~49세,85
2023,부산,부산연제구,50세 이상,0
2023,부산,부산수영구,19세 이하,0
2023,부산,부산수영구,20~29세,138
2023,부산,부산수영구,30~39세,845
2023,부산,부산수영구,40~49세,71
2023,부산,부산수영구,50세 이상,0
2023,부산,부산사상구,19세 이하,0
2023,부산,부산사상구,20~29세,0
2023,부산,부산사상구,30~39세,0
2023,부산,부산사상구,40~49세,0
2023,부산,부산사상구,50세 이상,0
2023,부산,부산기장군,19세 이하,0
2023,부산,부산기장군,20~29세,146
2023,부산,부산기장군,30~39세,528
2023,부산,부산기장군,40~49세,52
2023,부산,부산기장군,50세 이상,0
2023,인천,인천미추홀구,19세 이하,15
2023,인천,인천미추홀구,20~29세,1089
2023,인천,인천미추홀구,30~39세,4020
2023,인천,인천미추홀구,40~49세,367
2023,인천,인천미추홀구,50세 이상,0
2023,인천,인천동구,19세 이하,0
2023,인천,인천동구,20~29세,0
2023,인천,인천동구,30~39세,0
2023,인천,인천동구,40~49세,0
2023,인천,인천동구,50세 이상,0
2023,인천,인천부평구,19세 이하,0
2023,인천,인천부평구,20~29세,245
2023,인천,인천부평구,30~39세,849
2023,인천,인천부평구,40~49세,84
2023,인천,인천부평구,50세 이상,0
2023,인천,인천중구,19세 이하,0
2023,인천,인천중구,20~29세,47
2023,인천,인천중구,30~39세,172
2023,인천,인천중구,40~49세,23
2023,인천,인천중구,50세 이상,0
2023,인천,인천서구,19세 이하,0
2023,인천,인천서구,20~29세,596
2023,인천,인천서구,30~39세,2085
2023,인천,인천서구,40~49세,144
2023,인천,인천서구,50세 이상,0
2023,인천,인천남동구,19세 이하,0
2023,인천,인천남동구,20~29세,230
2023,인천,인천남동구,30~39세,803
2023,인천,인천남동구,40~49세,82
2023,인천,인천남동구,50세 이상,0
2023,인천,인천연수구,19세 이하,0
2023,인천,인천연수구,20~29세,178
2023,인천,인천연수구,30~39세,591
2023,인천,인천연수구,40~49세,36
2023,인천,인천연수구,50세 이상,0
2023,인천,인천계양구,19세 이하,0
2023,인천,인천계양구,20~29세,84
2023,인천,인천계양구,30~39세,234
2023,인천,인천계양구,40~49세,21
2023,인천,인천계양구,50세 이상,0
2023,인천,인천강화군,19세 이하,0
2023,인천,인천강화군,20~29세,0
2023,인천,인천강화군,30~39세,0
2023,인천,인천강화군,40~49세,0
2023,인천,인천강화군,50세 이상,0
2023,인천,인천옹진군,19세 이하,0
2023,인천,인천옹진군,20~29세,0
2023,인천,인천옹진군,30~39세,0
2023,인천,인천옹진군,40~49세,0
2023,인천,인천옹진군,50세 이상,0
2023,대구,대구남구,19세 이하,0
2023,대구,대구남구,20~29세,86
2023,대구,대구남구,30~39세,299
2023,대구,대구남구,40~49세,34
2023,대구,대구남구,50세 이상,0
2023,대구,대구동구,19세 이하,0
2023,대구,대구동구,20~29세,40
2023,대구,대구동구,30~39세,181
2023,대구,대구동구,40~49세,18
2023,대구,대구동구,50세 이상,0
2023,대구,대구북구,19세 이하,0
2023,대구,대구북구,20~29세,514
2023,대구,대구북구,30~39세,1967
2023,대구,대구북구,40~49세,181
2023,대구,대구북구,50세 이상,0
2023,대구,대구서구,19세 이하,0
2023,대구,대구서구,20~29세,0
2023,대구,대구서구,30~39세,0
2023,대구,대구서구,40~49세,0
2023,대구,대구서구,50세 이상,0
2023,대구,대구수성구,19세 이하,10
2023,대구,대구수성구,20~29세,827
2023,대구,대구수성구,30~39세,3308
2023,대구,대구수성구,40~49세,240
2023,대구,대구수성구,50세 이상,0
2023,대구,대구중구,19세 이하,0
2023,대구,대구중구,20~29세,24
2023,대구,대구중구,30~39세,84
2023,대구,대구중구,40~49세,14
2023,대구,대구중구,50세 이상,0
2023,대구,대구달서구,19세 이하,10
2023,대구,대구달서구,20~29세,888
2023,대구,대구달서구,30~39세,3624
2023,대구,대구달서구,40~49세,374
2023,대구,대구달서구,50세 이상,0
2023,대구,대구달성군,19세 이하,0
2023,대구,대구달성군,20~29세,151
2023,대구,대구달성군,30~39세,461
2023,대구,대구달성군,40~49세,37
2023,대구,대구달성군,50세 이상,0
2023,광주,광주동구,19세 이하,0
2023,광주,광주동구,20~29세,104
2023,광주,광주동구,30~39세,406
2023,광주,광주동구,40~49세,61
2023,광주,광주동구,50세 이상,0
